variant,forward_months,events,avg_scale,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months,adverse10_trade_count,adverse10_active_trade_count,trained_months
rf_binary_000,8,385,0.12182428848701676,-0.031869192480549945,-0.014296505544130722,6,-0.07859940734202296,-0.022265117531528846,8,385,46,8
ctx12h_scaled025,8,385,0.25,-0.046430476490699826,-0.015295183816505051,7,-0.1557497910743829,-0.032871930663554816,8,385,385,8
ctx4h_scaled025,8,385,0.25,-0.046430476490699826,-0.015295183816505051,7,-0.1557497910743829,-0.032871930663554816,8,385,385,8
rf_binary_025,8,385,0.3413682163652626,-0.0703323708511123,-0.017318943504422094,7,-0.21469934658090006,-0.0414389504177492,8,385,385,8
rf_rank_q70_000,8,385,0.3298957171714345,-0.08500641561287843,-0.03514820712102998,7,-0.21568693714652876,-0.06205799651612605,7,385,126,8
rf_rank_q60_000,8,385,0.4988144708628899,-0.09220483785088043,-0.038608834232349086,6,-0.3000601731857837,-0.06695759572204323,7,385,190,8
rf_replace_p2,8,385,0.7100841739197401,-0.08913310498207574,-0.025465088249020853,8,-0.3282913850241507,-0.05903254624681545,8,385,385,8
rf_rank_median_000,8,385,0.617174616935015,-0.114149414396332,-0.04025361562762841,5,-0.37864303998522014,-0.07771510884162926,8,385,236,8
rf_prob_cap1,8,385,0.6993317826296437,-0.11970696612220055,-0.03957461571431425,6,-0.42400224505996537,-0.0850546173801689,8,385,385,8
rf_rank_median_025,8,385,0.7128809627012612,-0.13204253728794882,-0.041888040015346316,6,-0.439732071063298,-0.08977248880639695,8,385,385,8
rf_prob_floor025,8,385,0.7744988369722328,-0.13621070108235023,-0.04497614560224073,6,-0.4737514748693569,-0.09666289369868149,8,385,385,8
baseline_original,8,385,1.0,-0.1857219059627993,-0.061180735266020206,7,-0.6229991642975315,-0.13148772265421926,8,385,385,8
