variant,events,pass_events,fail_events,same_close_calendar_sum,same_close_worst_sm,same_close_neg_sm,same_close_trade_count,adverse10_calendar_sum,adverse10_worst_sm,adverse10_neg_sm,adverse10_trade_count
low_eff_low_atr_ctx12h_up_fail_weight_0.00,5,5,12,0.008707215350169384,-0.00242269419633874,1,5,0.0025951453993902714,-0.0034348262291912205,1,5
low_eff_low_atr_ctx12h_up_fail_weight_0.25,17,5,12,0.00037961304516444857,-0.003544051270393688,1,17,-0.00941533473570604,-0.004335284815912477,3,17
low_eff_low_atr_ctx12h_up_fail_weight_0.50,17,5,12,-0.007947989259840487,-0.007088102540787376,2,17,-0.02142581487080235,-0.014700541260406447,2,17
low_eff_low_atr_ctx4h_up_fail_weight_0.00,8,8,9,-0.0144389667736963,-0.01201627257735756,2,8,-0.025600758276046704,-0.022165932046855484,2,8
low_eff_low_atr_ctx4h_up_fail_weight_0.25,17,8,9,-0.016980023547734816,-0.014151869091009009,2,17,-0.030562262492283776,-0.025482212572490212,3,17
low_eff_low_atr_ctx12h_up_fail_weight_0.75,17,5,12,-0.016275591564845426,-0.012636516587345483,2,17,-0.03343629500589866,-0.025065797704900413,2,17
low_eff_low_atr_ctx4h_up_fail_weight_0.50,17,8,9,-0.019521080321773326,-0.016287465604660455,2,17,-0.03552376670852084,-0.028798493098124933,2,17
low_eff_low_atr_ctx4h_up_fail_weight_0.75,17,8,9,-0.022062137095811847,-0.018423062118311906,2,17,-0.040485270924757906,-0.03211477362375966,2,17
low_eff_low_atr_q20_q40,17,,,-0.024603193869850357,-0.02055865863196335,2,17,-0.045446775140994974,-0.03543105414939438,2,17
low_eff_low_atr_ctx4h_up_fail_weight_1.00,17,8,9,-0.024603193869850357,-0.02055865863196335,2,17,-0.045446775140994974,-0.03543105414939438,2,17
low_eff_low_atr_ctx12h_up_fail_weight_1.00,17,5,12,-0.024603193869850357,-0.02055865863196335,2,17,-0.045446775140994974,-0.03543105414939438,2,17
baseline_model_advance,149,,,-0.20231108220020402,-0.08928264243002687,3,149,-0.39052384686613634,-0.16089213171146466,3,149
