gate,forward_months,forward_events,trade_count,same_close_calendar_sum,same_close_worst_month,same_close_neg_months,adverse10_calendar_sum,adverse10_worst_month,adverse10_neg_months
low_eff_high_speed_q20_q60,8,12,12,-0.01968215006190015,-0.012201744195210178,4,-0.033262818709769104,-0.015984518643997227,7
low_eff_low_atr_q20_q40,8,38,38,-0.007411691161501196,-0.012545074209414638,4,-0.059469436512862565,-0.020219962758954838,6
high_speed_q80,8,78,78,-0.014541887444737278,-0.016581624863319235,6,-0.09594377437989196,-0.02799122428220455,7
low_atr_side_gap_q40_q60,8,58,58,-0.03649774925768243,-0.011141202122496058,6,-0.09877282947096502,-0.02012463289019166,8
low_eff_side_slope_q20_q60,8,44,44,-0.06656553247190991,-0.033019810200886256,5,-0.11603545495063719,-0.038927801615667945,8
low_eff_low_atr_q30_q50,8,73,73,-0.030541278385931778,-0.019080424528829402,4,-0.11756998929826645,-0.0297326979332387,7
wick_touch_ext_le_0,8,65,65,-0.03328532772029068,-0.026329686469535596,5,-0.11808271598477811,-0.03656602507719318,6
low_rf_q40,8,148,148,-0.004647075042839373,-0.029152143820728768,4,-0.14559678474377807,-0.04231749336452583,7
high_speed_q60,8,155,155,0.017624273026875237,-0.017138957983066045,4,-0.148395323051726,-0.03252561079382549,8
low_eff_q20,8,95,95,-0.07353352496492982,-0.019917962290795448,7,-0.18990797048374808,-0.03892446332761344,8
low_atr_q40,8,152,152,-0.058291300471861804,-0.02548246884506283,6,-0.23680742118205989,-0.04479317997531681,8
level_far_q60,8,151,151,-0.09988604566886575,-0.06164636665055995,6,-0.25316116243435577,-0.0774046400907254,8
side_sma_gap_up_q60,8,167,167,-0.08152195942472573,-0.028850618656890665,6,-0.26183049234146316,-0.05183594831502577,8
low_eff_q30,8,141,141,-0.10013403257547494,-0.036312419026846725,8,-0.2653035750752908,-0.06639481435759267,8
side_sma_slope_up_q60,8,168,168,-0.09591712940699089,-0.07096720692175443,4,-0.2826018375874012,-0.10335190142611857,8
level_near_q40,8,165,165,-0.10443549224319942,-0.0354134514276679,6,-0.29551177440064047,-0.060668520597409036,8
late_touch_q40,8,227,227,-0.10475341422486739,-0.038384040675918905,6,-0.3557402206098805,-0.0638953870402768,8
high_rf_q60,8,163,163,-0.13218508657983252,-0.06317657094082932,5,-0.3572259682086515,-0.10246732155045885,8
baseline_model_advance,8,385,385,-0.1857219059627993,-0.061180735266020206,7,-0.6229991642975315,-0.13148772265421926,8
